entrez,pval,fc
10059,5.65971737496972e-84,1.31610546373524
55740,5.92763143929838e-84,1.0321361421366
22930,6.82817228016308e-84,1.13547040126273
27303,8.20302929952509e-84,1.2287663085466
23200,1.5406847501829e-83,1.4321231308969
4060,1.6077580335267098e-83,1.68236525122037
80012,2.3807074353052098e-83,1.19518854094997
4659,2.39425500665953e-83,1.39469675711771
55252,3.4429146830641896e-83,1.26530171096013
5411,6.482921211174669e-83,1.27783021485523
25962,6.94027774551701e-83,1.21239538909902
5562,7.72482793326675e-83,1.2245248194536
900,9.098268285041567e-83,1.03784800043137
9202,1.03317500644016e-82,1.27012708676522
11177,1.07421810056567e-82,1.67793495963805
63901,1.14495682838671e-82,1.31480331856266
4026,1.93042329952133e-82,1.24141794762438
8294,2.8198539111904e-82,-1.11681347803031
25939,3.65544144206846e-82,1.04218180085064
23074,4.1727841075468295e-82,1.8624627729603
8545,4.43063945608151e-82,1.34148328548158
4193,5.0654089269209e-82,1.13746787124322
134430,1.57452023013399e-81,1.21046474020522
9839,1.60615589249321e-81,1.42946078330859
4628,3.16011872310169e-81,1.00070413608903
4649,3.19129943656145e-81,1.31451536533114
375056,3.290691745189769e-81,1.23958906898687
9590,4.45610375607111e-81,1.01411486525009
8352,4.47996918128677e-81,-1.11024699288424
231181,4.98860768683385e-81,1.25525444981074
6873,6.41004682119334e-81,1.36695797858498
149041,8.85898891088274e-81,1.16060041427843
60684,1.1765525493083799e-80,1.48674469369126
285636,1.353894880603e-80,1.58019236058802
162394,1.4907227300493099e-80,1.02108581297709
3843,3.30427565527689e-80,1.06017301974636
114908,3.4548681517249196e-80,1.07410304179198
164,3.4808750867703e-80,1.07352502071434
64746,4.3431150398744996e-80,1.18041926093018
9044,5.83597854759245e-80,1.26708916098167
55187,8.35843052257999e-80,1.1197336956979
23047,1.17916563204582e-79,1.50005207740205
2059,1.86605391421796e-79,1.14837413722338
65250,2.411055789294909e-79,1.68199976086692
23041,2.71940836929822e-79,1.26168032062642
9262,2.91895884094651e-79,1.13163569029806
9693,2.97045867042868e-79,1.32534208117488
4677,3.55254583349378e-79,1.00984817003125
80232,3.7636427454078e-79,1.18507818157284
3012,4.00996548863403e-79,-1.06866201930552
3658,5.37653321101279e-79,1.50182090223323
50640,6.31658774088045e-79,1.45597177051868
8453,8.3907153464707e-79,1.53056693532645
55870,1.252039483551e-78,1.20059596216022
8357,2.87040557206528e-78,-1.10816711077287
9295,4.44180730952795e-78,1.27808129654639
90102,6.3839806058793085e-78,1.23503194387704
9522,9.319447510392859e-78,1.24808639703401
8346,9.81192552505057e-78,-1.0945208627414
80351,1.16230705598728e-77,1.24130194426488
8356,1.1857040551631899e-77,-1.14743715721844
9735,1.2023624028431799e-77,1.29683705501254
57122,1.20439674141846e-77,1.18043237104132
8087,1.31913377163934e-77,1.23856756368627
23161,1.5116142493373598e-77,1.36305421950977
10564,1.94815799511741e-77,1.12588006385386
26985,2.01991235560568e-77,1.29863161067507
10984,3.079120401606129e-77,1.31493731782024
389136,3.54901977217916e-77,1.84577419225452
64328,3.98909842281728e-77,1.59146368539427
9787,4.0441703590486195e-77,1.4615046778598
55233,7.770601965424759e-77,1.02624022359505
84128,1.16765880884935e-76,1.09648753461525
