Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon'.p-value	'COVID-19' vs 'normal' in 'colon'.log2foldchange	'COVID-19' vs 'normal' in 'lung'.p-value	'COVID-19' vs 'normal' in 'lung'.log2foldchange
ENSG00000010270	STARD3NL	0.195127451921842	0.5	0.0405603476939209	0.9
ENSG00000010278	CD9	0.345718784016959	0.4	0.25012515180435	0.3
ENSG00000010282	HHATL	NA	0.3	0.369483057108872	-1.4
ENSG00000010292	NCAPD2	0.000210148091609949	-1	0.807990868120311	-0.1
ENSG00000010295	IFFO1	0.0519634976417131	-1.2	0.186796108430601	-0.8
ENSG00000010310	GIPR	0.000607009698851675	-2.3	0.0102952501086397	-1.5
ENSG00000010318	PHF7	0.0533173714152233	-0.9	0.886304162683914	-0.2
ENSG00000010319	SEMA3G	0.340745759179726	0.8	0.885076355222589	-0.2
ENSG00000010322	NISCH	0.0307774059212745	-1.1	0.0345888883249386	-0.8
ENSG00000010327	STAB1	0.430467339836638	0.6	0.485273375117919	0.5
ENSG00000010361	FUZ	0.411223076213374	-0.8	0.159292535895602	-1.2
ENSG00000010379	SLC6A13	NA	-1.1	0.0174572661264918	-3
ENSG00000010404	IDS	0.00301136409028412	1	0.563177906792942	-0.2
ENSG00000010438	PRSS3	0.238825579069887	-1.2	NA	0.4
ENSG00000010539	ZNF200	0.304201422648858	-0.6	0.256670015965688	-0.5
ENSG00000010610	CD4	0.205371748258415	-1	0.38935110007416	-0.6
ENSG00000010626	LRRC23	0.477770605517092	-0.6	0.635803211282075	0.6
ENSG00000010671	BTK	0.0293707053184118	-1.6	0.844650706948856	-0.1
ENSG00000010704	HFE	0.511321717154662	0.5	0.79878394110579	0.2
ENSG00000010803	SCMH1	0.167780858938913	0.6	0.422240514780189	-0.6
ENSG00000010810	FYN	0.104201333709489	0.5	0.778232301672123	0.2
ENSG00000010818	HIVEP2	0.245473401659845	0.6	0.638120179479527	-0.2
ENSG00000010932	FMO1	0.917174960379192	0.1	0.920662328243341	-0.2
ENSG00000011007	ELOA	0.28011433134912	0.5	0.804154405229888	-0.1
ENSG00000011009	LYPLA2	0.112142326078599	-0.8	0.0139818194077615	1
ENSG00000011021	CLCN6	0.184005905569228	0.7	0.974844758308684	0
ENSG00000011028	MRC2	0.183442850833755	-0.9	0.736866912000144	0.2
ENSG00000011052	NME1-NME2	NA	0	NA	0
ENSG00000011083	SLC6A7	0.111156484999078	-1.5	NA	0
ENSG00000011105	TSPAN9	0.12619151561516	0.8	0.333150870087546	-0.4
ENSG00000011114	BTBD7	0.555820436258642	-0.1	0.200211694602922	-0.3
ENSG00000011132	APBA3	0.0808667635801569	-0.9	0.36297806975248	0.8
ENSG00000011143	MKS1	0.0743909728551841	-1.4	0.011029279986693	-1.7
ENSG00000011198	ABHD5	0.0224292581495182	0.6	0.931141375409329	-0.1
ENSG00000011201	ANOS1	0.587085762012633	-0.5	5.68698392971192e-06	-2.6
ENSG00000011243	AKAP8L	0.336090990439779	-0.7	0.385654211195156	-0.6
ENSG00000011258	MBTD1	0.997392215243587	0	0.492224288612892	-0.2
ENSG00000011260	UTP18	0.230878152321202	0.6	0.928435879829262	0.1
ENSG00000011275	RNF216	0.155874248018426	-0.5	0.59521040291207	-0.2
ENSG00000011295	TTC19	0.250886826952185	-0.5	0.257930026745479	-0.3
ENSG00000011304	PTBP1	0.276574166673879	-0.5	0.474598351320201	0.3
ENSG00000011332	DPF1	0.638426394491401	-0.5	0.0117371073935012	-2.4
ENSG00000011347	SYT7	0.256919456897256	-0.7	0.177596917590241	-1.3
ENSG00000011376	LARS2	0.0614426450611553	-0.8	0.803971075428144	-0.2
ENSG00000011405	PIK3C2A	8.39943387247044e-07	1.1	0.329670656960472	0.2
ENSG00000011422	PLAUR	0.591390044002563	-0.4	0.0091023935758578	1.4
ENSG00000011426	ANLN	0.564728306787353	-0.4	3.41932897023197e-06	2.9
ENSG00000011451	WIZ	0.322339338288196	-0.4	0.774562606273963	0.1
ENSG00000011454	RABGAP1	0.434095541643151	0.2	0.398961626457996	-0.2
ENSG00000011465	DCN	0.00491506998783097	1.3	0.676658995179656	0.2
ENSG00000011478	QPCTL	0.195387754352579	1.2	0.958385855989547	0.1
ENSG00000011485	PPP5C	0.322339338288196	-0.6	0.548023332081195	-0.4
ENSG00000011523	CEP68	0.598275029153168	0.2	0.0893759068188204	-0.7
ENSG00000011566	MAP4K3	0.0269142636202663	0.5	0.999758914076135	0
ENSG00000011590	ZBTB32	5.2317225213817e-05	-4.1	0.256368888327927	-1.3
ENSG00000011600	TYROBP	0.780322815319956	-0.2	0.961626810354758	0
ENSG00000011638	TMEM159	0.144688857551644	0.9	0.777755106627345	0.3
ENSG00000011677	GABRA3	0.113989598726894	-1.5	NA	-0.1
ENSG00000012048	BRCA1	0.837882052513438	0.2	0.283957732631457	0.5
ENSG00000012061	ERCC1	0.941588797787707	0.1	0.743747001586914	-0.3
ENSG00000012124	CD22	0.571819421687173	-0.7	0.000345103917165801	-2.5
ENSG00000012171	SEMA3B	0.0334542375512615	-1.4	0.000287708567688753	-2
ENSG00000012174	MBTPS2	0.348079844847239	0.4	0.729584419243211	0.1
ENSG00000012211	PRICKLE3	0.415068068464939	-0.7	0.736790374240158	-0.5
ENSG00000012223	LTF	0.107073074939089	-1.8	0.000136095928789062	3.2
ENSG00000012232	EXTL3	0.406470725094198	0.6	0.992956684356696	0
ENSG00000012504	NR1H4	0.830287113221092	0.3	0.0102928038829227	-3.1
ENSG00000012660	ELOVL5	5.86287212505543e-08	1.7	4.76267272845952e-06	1
ENSG00000012779	ALOX5	0.079531531105183	-1.6	0.992612959243463	0
ENSG00000012817	KDM5D	0.995422410688443	0	0.964964001042729	0.1
ENSG00000012822	CALCOCO1	0.0579302759353109	0.9	0.0748840002053572	-0.8
ENSG00000012963	UBR7	0.459521303076274	0.3	0.354593692022848	0.5
ENSG00000012983	MAP4K5	0.00266587901259987	0.6	0.0598792303119551	0.7
ENSG00000013016	EHD3	0.501604235451879	-0.5	0.403356376829874	-0.7
ENSG00000013275	PSMC4	0.837236683144446	-0.1	0.707255795294861	0.3
ENSG00000013288	MAN2B2	0.999427708894319	0	0.526702645498834	-0.3
ENSG00000013293	SLC7A14	0.0322703448465946	1.5	0.241375964997748	-1
ENSG00000013297	CLDN11	0.211068197567489	1	0.677212399933094	0.4
ENSG00000013306	SLC25A39	0.424909117625148	-0.5	0.168514897484519	0.7
ENSG00000013364	MVP	1.93075145461506e-06	-1.3	0.66513139742823	0.2
ENSG00000013374	NUB1	0.99075395973152	0	0.755085682599546	0.2
ENSG00000013375	PGM3	0.807618740881236	0.1	0.206918485089453	0.3
ENSG00000013392	RWDD2A	0.858054179889091	-0.1	0.157104997905252	0.9
ENSG00000013441	CLK1	0.000697947688416896	0.8	0.00139567884034635	0.8
ENSG00000013503	POLR3B	0.0345176293198231	-0.8	0.774605977509799	0.2
