entrez	pval	logfc
5704	0.837236683144446	-0.1
23324	0.999427708894319	0.0
57709	0.0322703448465946	1.5
5010	0.211068197567489	1.0
51629	0.424909117625148	-0.5
9961	1.93075145461506e-06	-1.3
51667	0.99075395973152	0.0
5238	0.807618740881236	0.1
112611	0.858054179889091	-0.1
1195	0.0006979476884168	0.8
55703	0.0345176293198231	-0.8
23357	0.900722638241357	-0.1
9604	0.0820061482821668	0.5
1774	0.111156484999078	-1.2
1663	0.229654290780326	-1.0
50865	0.0557608769339101	0.9
9052	0.734160309057339	0.3
10046	0.870513786261066	0.2
923	0.0209741595301863	-1.9
10460	0.0005609565858277	-2.4
23376	0.006595662203479	0.9
23649	0.0093613092502003	-1.5
23144	0.569691994720894	-0.4
823	0.0003582660527085	-1.5
55	0.0779096270396811	-1.3
4190	0.526024586165986	0.3
10463	0.110121311574601	0.4
10903	0.804103029813204	-0.2
1355	0.195971793767366	-0.5
440193	0.0202496780109096	-1.1
10138	0.105760595847772	0.8
10771	5.93793902971728e-06	1.0
7454	0.1265381255754	-0.9
1800	0.970099396034402	0.1
637	0.242443899771096	-0.5
9782	2.92096692902484e-05	1.4
29881	0.229975685473429	-1.3
64132	0.0358499008376755	-1.4
84220	0.259648684929458	0.8
81551	0.920247251876176	0.1
23386	0.0449718020332446	-1.0
3670	0.0161919940817371	-2.6
55349	0.70609945470673	-0.4
53832	0.438686163610592	-0.7
1179	0.307797850218443	-1.2
22802	0.634263005277517	-0.6
55830	0.004232211864011	-0.9
27032	0.451406513342804	0.3
3479	0.0637618632227923	1.8
92745	0.74087261144028	0.3
10928	0.805591214866343	0.1
22902	0.0354125145075692	0.7
1272	0.940080925940082	-0.1
6556	0.296706284679496	0.8
25937	5.91580859201408e-06	1.8
8540	0.118260460920594	0.5
63932	0.716057177589149	-0.3
477	0.516257146574768	-0.5
55622	0.610816359704975	0.3
147948	0.073698284609094	1.3
23584	0.0201661450330183	-2.0
23187	0.01807285109699	-0.8
8685	0.0086632455030017	3.0
1591	0.317207886024598	1.4
56981	0.231818810297749	-0.9
57586	0.656951268805048	-0.4
6591	0.329152231863231	0.7
972	0.0011776585385219	-1.3
3082	0.0065288485118375	1.4
54764	0.996891775088983	0.0
23154	0.737268123339554	0.3
25960	0.213896995661009	-0.8
55734	0.312121130598953	-0.4
4331	0.268518603187184	0.5
23034	0.0678109772871231	1.1
864	0.152364022149644	-1.1
4361	0.476129670321303	0.2
58473	9.05838493125085e-05	1.5
1992	0.659832027776304	0.3
64816	0.689343096372025	-0.5
11136	0.0809745862229991	-2.3
6683	0.0097281055182836	0.8
9369	0.462716591418566	0.5
114879	0.771739956550792	0.2
9716	0.917283587381418	0.0
1373	0.76478790077309	-0.3
2273	0.019479606871956	0.9
51507	0.959082700510051	0.0
2554	0.7118681304834	-0.6
55655	0.477416833478826	-0.8
57210	0.865249558912898	-0.1
9921	0.848054082654734	0.1
55778	0.396951138256933	-0.6
64429	0.305233278958476	0.4
57476	0.0027855699347334	-1.8
6050	0.483545222147655	-0.4
4719	0.26308984237681	0.3
